Location,Year,Population,n.Year,n.Population
"Davidson County, North Carolina",2019,167609,n.2019,1
"Davie County, North Carolina",2016,41921,n.2016,0
"Davie County, North Carolina",2017,42308,n.2017,0.42
"Davie County, North Carolina",2018,42563,n.2018,0.69
"Davie County, North Carolina",2019,42846,n.2019,1
"Duplin County, North Carolina",2016,59275,n.2016,1
"Duplin County, North Carolina",2017,58943,n.2017,0.38
"Duplin County, North Carolina",2018,58991,n.2018,0.47
"Duplin County, North Carolina",2019,58741,n.2019,0
"Durham County, North Carolina",2016,307826,n.2016,0
"Durham County, North Carolina",2017,312153,n.2017,0.32
"Durham County, North Carolina",2018,316979,n.2018,0.67
"Durham County, North Carolina",2019,321488,n.2019,1
"Edgecombe County, North Carolina",2016,53283,n.2016,1
"Edgecombe County, North Carolina",2017,52756,n.2017,0.71
"Edgecombe County, North Carolina",2018,51984,n.2018,0.28
"Edgecombe County, North Carolina",2019,51472,n.2019,0
"Forsyth County, North Carolina",2016,371260,n.2016,0
"Forsyth County, North Carolina",2017,375840,n.2017,0.42
"Forsyth County, North Carolina",2018,379216,n.2018,0.72
"Forsyth County, North Carolina",2019,382295,n.2019,1
"Franklin County, North Carolina",2016,64676,n.2016,0
"Franklin County, North Carolina",2017,66155,n.2017,0.3
"Franklin County, North Carolina",2018,67625,n.2018,0.59
"Franklin County, North Carolina",2019,69685,n.2019,1
"Gaston County, North Carolina",2016,216622,n.2016,0
"Gaston County, North Carolina",2017,219656,n.2017,0.38
"Gaston County, North Carolina",2018,222630,n.2018,0.76
"Gaston County, North Carolina",2019,224529,n.2019,1
"Gates County, North Carolina",2016,11569,n.2016,1
"Gates County, North Carolina",2017,11514,n.2017,0
"Gates County, North Carolina",2018,11563,n.2018,0.89
"Gates County, North Carolina",2019,11562,n.2019,0.87
"Graham County, North Carolina",2016,8531,n.2016,1
"Graham County, North Carolina",2017,8524,n.2017,0.92
"Graham County, North Carolina",2018,8461,n.2018,0.22
"Graham County, North Carolina",2019,8441,n.2019,0
"Granville County, North Carolina",2016,58684,n.2016,0
"Granville County, North Carolina",2017,59372,n.2017,0.39
"Granville County, North Carolina",2018,59979,n.2018,0.74
"Granville County, North Carolina",2019,60443,n.2019,1
"Greene County, North Carolina",2016,21078,n.2016,0.8
"Greene County, North Carolina",2017,20963,n.2017,0
"Greene County, North Carolina",2018,21106,n.2018,1
"Greene County, North Carolina",2019,21069,n.2019,0.74
"Guilford County, North Carolina",2016,524265,n.2016,0
"Guilford County, North Carolina",2017,528243,n.2017,0.31
"Guilford County, North Carolina",2018,532607,n.2018,0.65
"Guilford County, North Carolina",2019,537174,n.2019,1
"Halifax County, North Carolina",2016,51815,n.2016,1
"Halifax County, North Carolina",2017,51311,n.2017,0.72
"Halifax County, North Carolina",2018,50634,n.2018,0.35
"Halifax County, North Carolina",2019,50010,n.2019,0
"Harnett County, North Carolina",2016,130674,n.2016,0
"Harnett County, North Carolina",2017,132395,n.2017,0.32
"Harnett County, North Carolina",2018,134336,n.2018,0.69
"Harnett County, North Carolina",2019,135976,n.2019,1
"Haywood County, North Carolina",2016,60405,n.2016,0
"Haywood County, North Carolina",2017,61005,n.2017,0.31
